ball_id, ball_group, x_position, y_position, radius
389, None, -0.0243567, -0.000160044, 0.000646501
390, None, -0.000447351, 0.0463293, 0.000704496
391, None, 0.00575211, 0.020346, 0.000648812
392, None, -0.00104166, 0.00328179, 0.000671248
393, None, -0.021239, 0.0303755, 0.000630326
394, None, 0.0232969, -0.0257277, 0.000711267
395, None, -0.0184703, -0.0145427, 0.00067038
396, None, 0.0205011, 0.0424259, 0.000742189
397, None, 0.0244081, 0.0431567, 0.000623086
398, bottom_grip, 0.0178031, -0.0493492, 0.000667923
399, None, 0.00346698, 0.0300306, 0.000597393
400, None, 0.00943303, -0.0169371, 0.000552619
401, None, 0.0110003, 0.0383299, 0.000510621
402, None, 0.0052282, 0.0345672, 0.000639896
403, None, 0.0233028, -0.0232528, 0.000706882
404, None, 0.0164366, -0.0110801, 0.000556063
405, None, -0.0141205, 0.024801, 0.000507263
406, None, -0.0178658, -0.0111698, 0.000665292
407, None, -0.0147412, -0.0217605, 0.000659139
408, None, -0.0185294, -0.0439938, 0.000708068
409, None, -0.0126615, -0.0183421, 0.000738786
410, None, -0.00225589, -0.0179842, 0.000540482
411, None, 0.0137491, 0.0405895, 0.000591524
412, None, -0.0208299, 0.0398481, 0.000569236
413, None, 0.0149152, -0.0438427, 0.000680833
414, None, 0.0233245, -0.0162711, 0.00069518
415, None, 0.0203298, 0.00530091, 0.000743701
416, None, -0.0152414, -0.0244656, 0.000649273
417, None, 0.0187389, 0.0198864, 0.000528039
418, None, -0.0160192, 0.024918, 0.000620706
419, None, -0.0150058, 0.0242107, 0.000599587
420, None, -0.0126031, 0.0233487, 0.000697021
421, None, 0.0187976, -0.0457876, 0.000636026
422, None, 0.0243675, 0.0419043, 0.000650897
423, None, -0.00189126, -0.0346034, 0.000538369
424, None, -0.00574588, 0.0262844, 0.000687406
425, None, 0.00523925, -0.0224305, 0.000635653
426, None, -0.00646415, -0.0208171, 0.00052616
427, None, 0.0100502, 0.0229239, 0.000586052
428, None, -0.00967125, -0.0283953, 0.000518119
429, None, -0.0244668, 0.0401526, 0.000535803
430, None, 0.00851859, 0.0473353, 0.000545441
431, None, 0.0140329, -0.0287495, 0.000590341
432, None, -0.0166666, 0.0305357, 0.000631092
433, None, 0.0172138, 0.00605983, 0.000513568
434, None, 0.0206229, -0.0304043, 0.000574064
435, None, 0.00126136, 0.0393171, 0.000656122
436, None, 0.00730705, -0.0130955, 0.000665746
437, None, 0.00253081, 0.000186068, 0.000621401
438, None, -0.0199943, 0.0354705, 0.000748317
439, None, 0.0221216, -0.010393, 0.000556902
440, None, 0.00581315, -0.0260361, 0.00073674
441, None, -0.00828547, -0.0484423, 0.000636669
442, None, -0.00911357, -0.00955025, 0.00073583
443, None, -0.0150009, -0.0134827, 0.000607451
444, None, 0.0052956, -0.010889, 0.000708922
445, None, -0.0211973, 0.00604078, 0.000627039
446, None, 0.00281599, 0.0344652, 0.000702132
447, None, -0.0222887, 0.0439531, 0.000678559
448, None, 0.00437289, 0.00839783, 0.000687641
449, None, 0.0128912, -0.0371224, 0.000625854
450, None, -0.00166609, 0.0410548, 0.000687701
451, None, -0.0154698, -0.0372006, 0.000541923
452, None, -0.00157687, -0.0307066, 0.000685271
453, None, 0.00344466, -0.000695172, 0.000664688
454, None, -0.00334742, -0.00197743, 0.00064013
455, None, -0.0111284, -0.00697439, 0.000670414
456, None, -0.000330075, 0.0315031, 0.000727007
457, None, 0.0104698, -0.0211665, 0.000674014
458, None, 0.0241494, 0.0140579, 0.000558803
459, None, -0.0221341, -0.0363182, 0.000720698
460, None, 0.0100766, -0.00622705, 0.00066915
461, None, -0.0017899, 0.00655293, 0.000554754
462, None, 0.00096895, 0.0160583, 0.000739082
463, None, 0.0148578, -0.00264436, 0.000536218
464, None, 0.0184326, 0.0173032, 0.000690513
465, None, -0.00706818, -0.0218802, 0.000749948
